resample_index,train_n,test_n,accuracy,balanced_accuracy
0,360,180,0.49444444444444446,0.4944444444444444
1,360,180,0.4444444444444444,0.4444444444444444
2,360,180,0.45,0.44999999999999996
3,360,180,0.48333333333333334,0.48333333333333334
4,360,180,0.42777777777777776,0.42777777777777776
5,360,180,0.4888888888888889,0.4888888888888889
6,360,180,0.46111111111111114,0.4611111111111111
7,360,180,0.5055555555555555,0.5055555555555555
8,360,180,0.4888888888888889,0.4888888888888889
9,360,180,0.45555555555555555,0.4555555555555555
10,360,180,0.42777777777777776,0.42777777777777776
11,360,180,0.45,0.44999999999999996
12,360,180,0.45,0.45
13,360,180,0.4888888888888889,0.4888888888888889
14,360,180,0.45,0.45
15,360,180,0.5277777777777778,0.5277777777777778
16,360,180,0.4388888888888889,0.4388888888888889
17,360,180,0.5166666666666667,0.5166666666666666
18,360,180,0.4666666666666667,0.4666666666666666
19,360,180,0.43333333333333335,0.43333333333333335
20,360,180,0.4666666666666667,0.46666666666666673
21,360,180,0.4888888888888889,0.4888888888888889
22,360,180,0.45555555555555555,0.45555555555555555
23,360,180,0.5166666666666667,0.5166666666666666
24,360,180,0.4777777777777778,0.47777777777777786
25,360,180,0.42777777777777776,0.42777777777777776
26,360,180,0.49444444444444446,0.49444444444444446
27,360,180,0.45555555555555555,0.45555555555555555
28,360,180,0.5,0.5
29,360,180,0.46111111111111114,0.4611111111111111
30,360,180,0.4888888888888889,0.48888888888888893
31,360,180,0.5,0.5
32,360,180,0.4722222222222222,0.47222222222222215
33,360,180,0.45555555555555555,0.45555555555555555
34,360,180,0.45555555555555555,0.45555555555555555
35,360,180,0.4444444444444444,0.4444444444444444
36,360,180,0.4722222222222222,0.47222222222222227
37,360,180,0.43333333333333335,0.43333333333333335
38,360,180,0.49444444444444446,0.49444444444444446
39,360,180,0.5222222222222223,0.5222222222222223
40,360,180,0.4888888888888889,0.4888888888888889
41,360,180,0.46111111111111114,0.4611111111111111
42,360,180,0.46111111111111114,0.4611111111111111
