feature_family,analysis,transfer_family,holdout,train_n,test_n,accuracy,balanced_accuracy,accuracy_delta_vs_frozen_full,balanced_accuracy_delta_vs_frozen_full
form_structure,P1,,,5398,180,0.34444444444444444,0.3444444444444444,-0.14444444444444443,-0.1444444444444445
form_structure,P3,,story,360,180,0.29444444444444445,0.29444444444444445,0.05000000000000002,0.04999999999999999
form_structure,P3,,animal,360,180,0.19444444444444445,0.19444444444444445,-0.05555555555555555,-0.05555555555555555
form_structure,P3,,poem,360,180,0.21666666666666667,0.21666666666666667,0.03888888888888889,0.03888888888888889
form_structure,P3,,pooled,0,540,0.2351851851851852,0.23518518518518516,0.011111111111111127,0.0111111111111111
form_structure,P4,phrasing,write,3599,1799,0.3379655364091162,0.33792270531400964,-0.30350194552529186,-0.3034986993682646
form_structure,P4,phrasing,compose,3599,1799,0.311284046692607,0.31132478632478633,-0.3479710950528071,-0.34806763285024156
form_structure,P4,phrasing,gimme,3598,1800,0.2811111111111111,0.28111111111111114,-0.2761111111111111,-0.27611111111111103
form_structure,P4,phrasing,pooled,0,5398,0.3101148573545758,0.31008857578379273,-0.30918858836606145,-0.30923145058295215
form_structure,P4,length_cap,5,3599,1799,0.29405225125069484,0.2938963210702341,-0.20177876598110062,-0.20177814938684507
form_structure,P4,length_cap,10,3599,1799,0.2662590327959978,0.2663507989594946,-0.3073929961089494,-0.3073987365291713
form_structure,P4,length_cap,20,3598,1800,0.26222222222222225,0.2622222222222222,-0.12111111111111111,-0.12111111111111111
form_structure,P4,length_cap,pooled,0,5398,0.2741756206002223,0.2741511144069542,-0.21007780659503517,-0.21011597247970992
grammar_person,P1,,,5398,180,0.31666666666666665,0.31666666666666665,-0.17222222222222222,-0.17222222222222222
grammar_person,P3,,story,360,180,0.2222222222222222,0.22222222222222224,-0.022222222222222227,-0.022222222222222227
grammar_person,P3,,animal,360,180,0.18333333333333332,0.18333333333333335,-0.06666666666666668,-0.06666666666666665
grammar_person,P3,,poem,360,180,0.14444444444444443,0.14444444444444446,-0.033333333333333354,-0.033333333333333326
grammar_person,P3,,pooled,0,540,0.18333333333333332,0.18333333333333332,-0.040740740740740744,-0.040740740740740744
grammar_person,P4,phrasing,write,3599,1799,0.4546970539188438,0.4546339650687477,-0.18677042801556426,-0.18678743961352656
grammar_person,P4,phrasing,compose,3599,1799,0.4652584769316287,0.46537160906726127,-0.1939966648137854,-0.19402081010776662
grammar_person,P4,phrasing,gimme,3598,1800,0.44,0.44,-0.11722222222222217,-0.11722222222222217
grammar_person,P4,phrasing,pooled,0,5398,0.45331604297888106,0.4533302434804103,-0.16598740274175616,-0.1659897828863346
grammar_person,P4,length_cap,5,3599,1799,0.3529738743746526,0.3529858788554441,-0.14285714285714285,-0.1426885916016351
grammar_person,P4,length_cap,10,3599,1799,0.45858810450250137,0.45872166480862137,-0.11506392440244578,-0.11502787068004455
grammar_person,P4,length_cap,20,3598,1800,0.3927777777777778,0.3927777777777777,0.009444444444444422,0.009444444444444422
grammar_person,P4,length_cap,pooled,0,5398,0.40144497962208225,0.4014662382070613,-0.08280844757317524,-0.08280084867960286
punctuation,P1,,,5398,180,0.3388888888888889,0.33888888888888885,-0.14999999999999997,-0.15000000000000002
punctuation,P3,,story,360,180,0.23333333333333334,0.2333333333333333,-0.0111111111111111,-0.011111111111111155
punctuation,P3,,animal,360,180,0.19444444444444445,0.19444444444444445,-0.05555555555555555,-0.05555555555555555
