source_layer,analysis,transfer_family,holdout,train_environment,test_environment,train_n,test_n,feature_family,accuracy,balanced_accuracy,chance_reference,chance_adjusted_accuracy,accuracy_95pct_low,accuracy_95pct_high
frozen_primary,P1,cross_study,BA1_poetry,BA2_poetry,BA1_poetry,5398,180,full_body,0.4888888888888889,0.4888888888888889,0.16666666666666666,0.3866666666666666,,
frozen_primary,P3,genre,story,BA1_animal+poem,BA1_story,360,180,full_body,0.24444444444444444,0.24444444444444446,0.16666666666666666,0.09333333333333334,,
frozen_primary,P3,genre,animal,BA1_story+poem,BA1_animal,360,180,full_body,0.25,0.25,0.16666666666666666,0.1,,
frozen_primary,P3,genre,poem,BA1_story+animal,BA1_poem,360,180,full_body,0.17777777777777778,0.17777777777777778,0.16666666666666666,0.013333333333333352,,
frozen_primary,P4,phrasing,write,BA2_compose+gimme,BA2_write,3599,1799,full_body,0.6414674819344081,0.6414214046822743,0.16666666666666666,0.5697609783212897,,
frozen_primary,P4,phrasing,compose,BA2_write+gimme,BA2_compose,3599,1799,full_body,0.6592551417454141,0.6593924191750279,0.16666666666666666,0.591106170094497,,
frozen_primary,P4,phrasing,gimme,BA2_write+compose,BA2_gimme,3598,1800,full_body,0.5572222222222222,0.5572222222222222,0.16666666666666666,0.4686666666666666,,
frozen_primary,P4,length_cap,5,BA2_cap_10+20,BA2_cap_5,3599,1799,full_body,0.49583101723179546,0.4956744704570792,0.16666666666666666,0.39499722067815457,,
frozen_primary,P4,length_cap,10,BA2_cap_5+20,BA2_cap_10,3599,1799,full_body,0.5736520289049472,0.5737495354886659,0.16666666666666666,0.4883824346859366,,
frozen_primary,P4,length_cap,20,BA2_cap_5+10,BA2_cap_20,3598,1800,full_body,0.38333333333333336,0.3833333333333333,0.16666666666666666,0.26,,
IA2,P1,cross_study,BA1_poetry,BA2_poetry,BA1_poetry,5398,180,form_structure,0.34444444444444444,0.3444444444444444,0.16666666666666666,0.21333333333333332,,
IA2,P3,genre,story,BA1_animal+poem,BA1_story,360,180,form_structure,0.29444444444444445,0.29444444444444445,0.16666666666666666,0.15333333333333335,,
IA2,P3,genre,animal,BA1_story+poem,BA1_animal,360,180,form_structure,0.19444444444444445,0.19444444444444445,0.16666666666666666,0.03333333333333335,,
IA2,P3,genre,poem,BA1_story+animal,BA1_poem,360,180,form_structure,0.21666666666666667,0.21666666666666667,0.16666666666666666,0.06000000000000002,,
IA2,P4,phrasing,write,BA2_compose+gimme,BA2_write,3599,1799,form_structure,0.3379655364091162,0.33792270531400964,0.16666666666666666,0.20555864369093943,,
