resample,model,recall
0,claude-haiku-4-5-20251001,0.6
0,claude-sonnet-4-6,0.6666666666666666
0,claude-opus-4-7,0.6
0,gpt-5.4-nano,0.9333333333333333
0,gpt-5.4-mini,0.5333333333333333
0,gpt-5.4,0.2
1,claude-haiku-4-5-20251001,0.6666666666666666
1,claude-sonnet-4-6,0.6666666666666666
1,claude-opus-4-7,0.26666666666666666
1,gpt-5.4-nano,0.7333333333333333
1,gpt-5.4-mini,0.4
1,gpt-5.4,0.4
2,claude-haiku-4-5-20251001,0.7333333333333333
2,claude-sonnet-4-6,0.6
2,claude-opus-4-7,0.4
2,gpt-5.4-nano,0.8
2,gpt-5.4-mini,0.4
2,gpt-5.4,0.5333333333333333
3,claude-haiku-4-5-20251001,0.5333333333333333
3,claude-sonnet-4-6,0.4666666666666667
3,claude-opus-4-7,0.5333333333333333
3,gpt-5.4-nano,0.8666666666666667
3,gpt-5.4-mini,0.8
3,gpt-5.4,0.4666666666666667
4,claude-haiku-4-5-20251001,0.6666666666666666
4,claude-sonnet-4-6,0.5333333333333333
4,claude-opus-4-7,0.4666666666666667
4,gpt-5.4-nano,0.8666666666666667
4,gpt-5.4-mini,0.3333333333333333
4,gpt-5.4,0.5333333333333333
5,claude-haiku-4-5-20251001,0.3333333333333333
5,claude-sonnet-4-6,0.6666666666666666
5,claude-opus-4-7,0.4666666666666667
5,gpt-5.4-nano,0.7333333333333333
5,gpt-5.4-mini,0.7333333333333333
5,gpt-5.4,0.26666666666666666
6,claude-haiku-4-5-20251001,0.5333333333333333
6,claude-sonnet-4-6,0.7333333333333333
6,claude-opus-4-7,0.6666666666666666
6,gpt-5.4-nano,0.8
6,gpt-5.4-mini,0.4666666666666667
6,gpt-5.4,0.7333333333333333
7,claude-haiku-4-5-20251001,0.5333333333333333
7,claude-sonnet-4-6,0.8
7,claude-opus-4-7,0.4
7,gpt-5.4-nano,0.8666666666666667
7,gpt-5.4-mini,0.6
7,gpt-5.4,0.26666666666666666
8,claude-haiku-4-5-20251001,0.5333333333333333
8,claude-sonnet-4-6,0.9333333333333333
8,claude-opus-4-7,0.26666666666666666
8,gpt-5.4-nano,0.9333333333333333
8,gpt-5.4-mini,0.26666666666666666
8,gpt-5.4,0.4
9,claude-haiku-4-5-20251001,0.5333333333333333
9,claude-sonnet-4-6,0.7333333333333333
9,claude-opus-4-7,0.6
9,gpt-5.4-nano,0.8
9,gpt-5.4-mini,0.4666666666666667
9,gpt-5.4,0.5333333333333333
10,claude-haiku-4-5-20251001,0.5333333333333333
10,claude-sonnet-4-6,0.9333333333333333
10,claude-opus-4-7,0.7333333333333333
10,gpt-5.4-nano,0.8
10,gpt-5.4-mini,0.5333333333333333
10,gpt-5.4,0.5333333333333333
11,claude-haiku-4-5-20251001,0.4
11,claude-sonnet-4-6,0.8
11,claude-opus-4-7,0.5333333333333333
11,gpt-5.4-nano,0.8666666666666667
11,gpt-5.4-mini,0.6
11,gpt-5.4,0.3333333333333333
12,claude-haiku-4-5-20251001,0.6666666666666666
12,claude-sonnet-4-6,0.26666666666666666
12,claude-opus-4-7,0.4
12,gpt-5.4-nano,0.9333333333333333
12,gpt-5.4-mini,0.6666666666666666
12,gpt-5.4,0.4
13,claude-haiku-4-5-20251001,0.6
13,claude-sonnet-4-6,1.0
13,claude-opus-4-7,0.4666666666666667
13,gpt-5.4-nano,0.8
13,gpt-5.4-mini,0.26666666666666666
13,gpt-5.4,0.4
14,claude-haiku-4-5-20251001,0.26666666666666666
14,claude-sonnet-4-6,0.7333333333333333
14,claude-opus-4-7,0.4
14,gpt-5.4-nano,0.7333333333333333
14,gpt-5.4-mini,0.6
14,gpt-5.4,0.26666666666666666
15,claude-haiku-4-5-20251001,0.8
15,claude-sonnet-4-6,0.6666666666666666
15,claude-opus-4-7,0.5333333333333333
15,gpt-5.4-nano,0.8
15,gpt-5.4-mini,0.6
15,gpt-5.4,0.4
16,claude-haiku-4-5-20251001,0.5333333333333333
16,claude-sonnet-4-6,0.6666666666666666
16,claude-opus-4-7,0.5333333333333333
16,gpt-5.4-nano,0.8
16,gpt-5.4-mini,0.4666666666666667
16,gpt-5.4,0.4
17,claude-haiku-4-5-20251001,0.6
17,claude-sonnet-4-6,0.8666666666666667
17,claude-opus-4-7,0.2
17,gpt-5.4-nano,0.8
17,gpt-5.4-mini,0.5333333333333333
17,gpt-5.4,0.2
18,claude-haiku-4-5-20251001,0.26666666666666666
18,claude-sonnet-4-6,0.9333333333333333
18,claude-opus-4-7,0.5333333333333333
18,gpt-5.4-nano,0.8666666666666667
18,gpt-5.4-mini,0.4
18,gpt-5.4,0.5333333333333333
19,claude-haiku-4-5-20251001,0.6
19,claude-sonnet-4-6,0.6666666666666666
19,claude-opus-4-7,0.4666666666666667
19,gpt-5.4-nano,0.8
19,gpt-5.4-mini,0.3333333333333333
19,gpt-5.4,0.4666666666666667
20,claude-haiku-4-5-20251001,0.5333333333333333
20,claude-sonnet-4-6,0.6
20,claude-opus-4-7,0.5333333333333333
20,gpt-5.4-nano,1.0
20,gpt-5.4-mini,0.26666666666666666
20,gpt-5.4,0.26666666666666666
21,claude-haiku-4-5-20251001,0.6
21,claude-sonnet-4-6,0.6
21,claude-opus-4-7,0.4666666666666667
21,gpt-5.4-nano,0.6666666666666666
21,gpt-5.4-mini,0.4
21,gpt-5.4,0.4666666666666667
22,claude-haiku-4-5-20251001,0.5333333333333333
22,claude-sonnet-4-6,0.8
22,claude-opus-4-7,0.3333333333333333
22,gpt-5.4-nano,0.8666666666666667
22,gpt-5.4-mini,0.4
22,gpt-5.4,0.4666666666666667
23,claude-haiku-4-5-20251001,0.6666666666666666
23,claude-sonnet-4-6,0.6666666666666666
23,claude-opus-4-7,0.4666666666666667
23,gpt-5.4-nano,0.8666666666666667
23,gpt-5.4-mini,0.4666666666666667
23,gpt-5.4,0.4666666666666667
24,claude-haiku-4-5-20251001,0.4666666666666667
24,claude-sonnet-4-6,0.7333333333333333
24,claude-opus-4-7,0.7333333333333333
24,gpt-5.4-nano,0.8
24,gpt-5.4-mini,0.6
24,gpt-5.4,0.4
25,claude-haiku-4-5-20251001,0.3333333333333333
25,claude-sonnet-4-6,0.6666666666666666
25,claude-opus-4-7,0.6
25,gpt-5.4-nano,0.6666666666666666
25,gpt-5.4-mini,0.5333333333333333
25,gpt-5.4,0.26666666666666666
26,claude-haiku-4-5-20251001,0.5333333333333333
26,claude-sonnet-4-6,0.9333333333333333
26,claude-opus-4-7,0.3333333333333333
26,gpt-5.4-nano,0.8666666666666667
26,gpt-5.4-mini,0.5333333333333333
26,gpt-5.4,0.4666666666666667
27,claude-haiku-4-5-20251001,0.6
27,claude-sonnet-4-6,0.8
27,claude-opus-4-7,0.6
27,gpt-5.4-nano,0.6666666666666666
27,gpt-5.4-mini,0.5333333333333333
27,gpt-5.4,0.4666666666666667
28,claude-haiku-4-5-20251001,0.6
28,claude-sonnet-4-6,0.7333333333333333
28,claude-opus-4-7,0.3333333333333333
28,gpt-5.4-nano,0.8
28,gpt-5.4-mini,0.6
28,gpt-5.4,0.26666666666666666
29,claude-haiku-4-5-20251001,0.6666666666666666
29,claude-sonnet-4-6,0.7333333333333333
29,claude-opus-4-7,0.5333333333333333
29,gpt-5.4-nano,0.8666666666666667
29,gpt-5.4-mini,0.4666666666666667
29,gpt-5.4,0.4
30,claude-haiku-4-5-20251001,0.5333333333333333
30,claude-sonnet-4-6,0.4666666666666667
30,claude-opus-4-7,0.5333333333333333
30,gpt-5.4-nano,0.6
30,gpt-5.4-mini,0.5333333333333333
30,gpt-5.4,0.5333333333333333
31,claude-haiku-4-5-20251001,0.5333333333333333
31,claude-sonnet-4-6,0.6666666666666666
31,claude-opus-4-7,0.4666666666666667
31,gpt-5.4-nano,0.8666666666666667
31,gpt-5.4-mini,0.6
31,gpt-5.4,0.26666666666666666
32,claude-haiku-4-5-20251001,0.6
32,claude-sonnet-4-6,0.8
32,claude-opus-4-7,0.4666666666666667
32,gpt-5.4-nano,0.8666666666666667
32,gpt-5.4-mini,0.7333333333333333
32,gpt-5.4,0.4666666666666667
33,claude-haiku-4-5-20251001,0.4666666666666667
33,claude-sonnet-4-6,0.6
33,claude-opus-4-7,0.6
33,gpt-5.4-nano,0.8
33,gpt-5.4-mini,0.7333333333333333
33,gpt-5.4,0.26666666666666666
34,claude-haiku-4-5-20251001,0.6
34,claude-sonnet-4-6,0.8
34,claude-opus-4-7,0.5333333333333333
34,gpt-5.4-nano,0.7333333333333333
34,gpt-5.4-mini,0.5333333333333333
34,gpt-5.4,0.4666666666666667
35,claude-haiku-4-5-20251001,0.4
35,claude-sonnet-4-6,0.6666666666666666
35,claude-opus-4-7,0.4
35,gpt-5.4-nano,0.7333333333333333
