model,length_cap,n,direct_cap_n,direct_cap_fraction,at_or_above_cap_n,at_or_above_cap_fraction,near_cap_95_n,near_cap_95_fraction,output_tokens_median,output_tokens_p95,output_tokens_max
claude-haiku-4-5-20251001,5.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,47.0,55.0
claude-haiku-4-5-20251001,10.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,82.05000000000001,91.0
claude-haiku-4-5-20251001,20.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,144.10000000000002,169.0
claude-opus-4-7,5.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,59.0,68.0
claude-opus-4-7,10.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,121.0,141.0
claude-opus-4-7,20.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,215.10000000000002,255.0
claude-sonnet-4-6,5.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,58.0,61.0
claude-sonnet-4-6,10.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,85.0,96.0
claude-sonnet-4-6,20.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,136.05,151.0
gpt-5.4,5.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,51.0
gpt-5.4,10.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,89.0,93.0
gpt-5.4,20.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,137.0,152.0
gpt-5.4-mini,5.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,44.0,53.0
gpt-5.4-mini,10.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,84.0,93.0
gpt-5.4-mini,20.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,108.0,136.0
gpt-5.4-nano,5.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,51.0,57.0
gpt-5.4-nano,10.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,81.0,92.0
gpt-5.4-nano,20.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,139.0,185.0
