feature,spearman_rho,spearman_bootstrap_95pct_low,spearman_bootstrap_95pct_high,direction_agreement_n,direction_agreement_fraction,bootstrap_resamples,bootstrap_seed
body_word_count,-0.4285714285714286,-0.7142857142857143,0.2571428571428572,3,0.5,2000,20261016
body_line_count_nonempty,-0.5428571428571429,-0.6377481392176932,-0.08571428571428573,1,0.16666666666666666,2000,20261016
body_stanza_count,-0.3142857142857143,-0.6,-0.028988551782622423,4,0.6666666666666666,2000,20261016
words_per_line_mean,0.8285714285714287,0.6571428571428573,1.0,6,1.0,2000,20261016
words_per_line_sd,0.6,0.08571428571428573,0.8285714285714287,6,1.0,2000,20261016
mean_word_length,0.3714285714285715,0.2571428571428572,0.6,4,0.6666666666666666,2000,20261016
pos_noun_ratio,0.6,0.08571428571428573,0.7142857142857143,4,0.6666666666666666,2000,20261016
pos_verb_ratio,0.7142857142857143,-0.3714285714285715,0.8857142857142858,3,0.5,2000,20261016
pos_adj_ratio,0.5428571428571429,0.3142857142857143,0.942857142857143,5,0.8333333333333334,2000,20261016
pos_adv_ratio,0.08571428571428573,-0.3714285714285715,0.6,4,0.6666666666666666,2000,20261016
pos_pronoun_ratio,0.8285714285714287,0.4285714285714286,0.942857142857143,5,0.8333333333333334,2000,20261016
pronoun_1s_share,0.3142857142857143,0.057977103565244846,0.7714285714285715,4,0.6666666666666666,2000,20261016
pronoun_1p_share,0.7142857142857143,0.3142857142857143,1.0,5,0.8333333333333334,2000,20261016
pronoun_2_share,0.3142857142857143,-0.6,0.7714285714285715,4,0.6666666666666666,2000,20261016
pronoun_3_share,-0.14285714285714288,-0.5428571428571429,0.4285714285714286,3,0.5,2000,20261016
em_dash_per_100_words,0.8285714285714287,0.6,0.942857142857143,6,1.0,2000,20261016
semicolon_per_100_words,0.9856107606091623,0.8196885999705371,0.9856107606091623,6,1.0,2000,20261016
colon_per_100_words,0.2,-0.34845177014239664,0.5428571428571429,2,0.3333333333333333,2000,20261016
comma_per_100_words,0.2,-0.2571428571428572,0.8857142857142858,5,0.8333333333333334,2000,20261016
exclamation_per_100_words,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,4,0.6666666666666666,2000,20261016
question_per_100_words,-0.033806170189140665,-0.5659453309702792,0.4396406151816201,2,0.3333333333333333,2000,20261016
ellipsis_per_100_words,,,,6,1.0,2000,20261016
