feature,eta_squared,omega_squared
body_word_count,0.023411769763479903,0.02250210425136009
body_line_count_nonempty,0.022264076737188963,0.02135355044830236
body_stanza_count,0.020528352031816806,0.019616524867540036
words_per_line_mean,0.11273228274929985,0.11189110768365658
words_per_line_sd,0.02429638170718754,0.023387379993028486
mean_word_length,0.13362442874075633,0.13279970094530644
pos_noun_ratio,0.12782333531982074,0.12699402438732346
pos_verb_ratio,0.061024753481513344,0.060143568475091266
pos_adj_ratio,0.09397160957217986,0.09311580328258218
pos_adv_ratio,0.08063662570281514,0.07977049904356887
pos_pronoun_ratio,0.22558729691282903,0.2248368925988107
pronoun_1s_share,0.2059769985986083,0.20521048212050383
pronoun_1p_share,0.07307742917799692,0.07220548152505318
pronoun_2_share,0.03881011369043931,0.037912044308928396
pronoun_3_share,0.04981694055184233,0.048927214085371505
em_dash_per_100_words,0.30134095639154435,0.30065413333010305
semicolon_per_100_words,0.31541288807764145,0.31473811040449134
colon_per_100_words,0.03186580469804656,0.030962494826658707
comma_per_100_words,0.03949058315632714,0.03859302825067476
exclamation_per_100_words,0.001849732510809105,0.0009239770202015712
question_per_100_words,0.0029271855123080698,0.002002229940816823
ellipsis_per_100_words,0.0,0.0
