feature,model,n,mean,sd,median
body_word_count,claude-haiku-4-5-20251001,900,43.31333333333333,22.73652444719088,38.0
body_word_count,claude-sonnet-4-6,900,40.181111111111115,22.09926737114529,31.0
body_word_count,claude-opus-4-7,900,47.44777777777778,26.62244876318781,43.0
body_word_count,gpt-5.4-nano,899,49.38487208008899,22.86419756642838,41.0
body_word_count,gpt-5.4-mini,900,42.38777777777778,15.514594139672143,46.0
body_word_count,gpt-5.4,899,48.98442714126808,24.326193229476683,47.0
body_line_count_nonempty,claude-haiku-4-5-20251001,900,7.216666666666667,3.8499021266614144,6.0
body_line_count_nonempty,claude-sonnet-4-6,900,6.628888888888889,3.684445386681741,5.0
body_line_count_nonempty,claude-opus-4-7,900,8.20111111111111,4.649278878729605,8.0
body_line_count_nonempty,gpt-5.4-nano,899,7.483870967741935,3.396663522275183,6.0
body_line_count_nonempty,gpt-5.4-mini,900,6.6,2.209293748102775,8.0
body_line_count_nonempty,gpt-5.4,899,7.3526140155728585,3.4368663792733183,7.0
body_stanza_count,claude-haiku-4-5-20251001,900,1.6655555555555555,1.0051769346140578,1.0
body_stanza_count,claude-sonnet-4-6,900,1.6366666666666667,0.9315804027128181,1.0
body_stanza_count,claude-opus-4-7,900,1.9466666666666668,1.3017657213669125,1.0
body_stanza_count,gpt-5.4-nano,899,1.6929922135706341,0.980469554198347,1.0
body_stanza_count,gpt-5.4-mini,900,1.4633333333333334,0.6718476838873731,1.0
body_stanza_count,gpt-5.4,899,1.7552836484983314,0.9911425111256166,1.0
words_per_line_mean,claude-haiku-4-5-20251001,900,6.098019510164376,0.850710810854375,6.2
words_per_line_mean,claude-sonnet-4-6,900,6.168993609785276,0.8424411910274757,6.333333333333333
words_per_line_mean,claude-opus-4-7,900,5.814050427255923,0.715670189778882,5.875
words_per_line_mean,gpt-5.4-nano,899,6.6125887229196465,0.7628715880933835,6.5
words_per_line_mean,gpt-5.4-mini,900,6.380438561438561,0.7722714201184406,6.25
words_per_line_mean,gpt-5.4,899,6.644452754018938,0.9695638711980433,6.5
words_per_line_sd,claude-haiku-4-5-20251001,900,0.8856202404876355,0.40219929833472146,0.8392787063375851
words_per_line_sd,claude-sonnet-4-6,900,0.9781837383048203,0.40701042146123134,0.9574271077563381
words_per_line_sd,claude-opus-4-7,900,1.0127795588086335,0.34886981577215814,1.0
words_per_line_sd,gpt-5.4-nano,899,0.8750899606905379,0.3056450634747088,0.8528028654224411
words_per_line_sd,gpt-5.4-mini,900,0.9641904126614207,0.31190834995605443,0.9574271077563381
words_per_line_sd,gpt-5.4,899,0.8690949760186931,0.3539574633296168,0.8348471099367211
mean_word_length,claude-haiku-4-5-20251001,900,4.562838878819004,0.351683324419556,4.514520202020202
mean_word_length,claude-sonnet-4-6,900,4.237841957832011,0.2690702271559669,4.211929824561403
mean_word_length,claude-opus-4-7,900,4.335548290572037,0.28546241155064933,4.298969072164948
mean_word_length,gpt-5.4-nano,899,4.451643412764114,0.25894982851540177,4.44
mean_word_length,gpt-5.4-mini,900,4.545377834363067,0.29241709176908603,4.508623253047874
mean_word_length,gpt-5.4,899,4.4207231767953505,0.2672250629508612,4.395833333333333
pos_noun_ratio,claude-haiku-4-5-20251001,900,0.28711810308623514,0.06094450500866789,0.28205128205128205
pos_noun_ratio,claude-sonnet-4-6,900,0.25820383769656313,0.060350388366613,0.253342841861294
pos_noun_ratio,claude-opus-4-7,900,0.27338682428554933,0.04821340964469577,0.2684746996723695
pos_noun_ratio,gpt-5.4-nano,899,0.2854025654027978,0.041548657329963996,0.28205128205128205
pos_noun_ratio,gpt-5.4-mini,900,0.30546394041613856,0.04046689607551302,0.30434782608695604
pos_noun_ratio,gpt-5.4,899,0.3183814491598954,0.0540039089038947,0.3125
pos_verb_ratio,claude-haiku-4-5-20251001,900,0.19943077705636866,0.04548442732729773,0.2
pos_verb_ratio,claude-sonnet-4-6,900,0.21085291218807678,0.04317298680818243,0.208333333333333
pos_verb_ratio,claude-opus-4-7,900,0.20420946328729722,0.04216557114575976,0.2
