feature,model_a,model_b,hedges_g_a_minus_b
body_word_count,claude-haiku-4-5-20251001,claude-sonnet-4-6,0.13964732969402274
body_word_count,claude-haiku-4-5-20251001,claude-opus-4-7,-0.16693910443323734
body_word_count,claude-haiku-4-5-20251001,gpt-5.4-nano,-0.26617955872747345
body_word_count,claude-haiku-4-5-20251001,gpt-5.4-mini,0.04753366841009571
body_word_count,claude-haiku-4-5-20251001,gpt-5.4,-0.24076815722698394
body_word_count,claude-sonnet-4-6,claude-opus-4-7,-0.29689160979484497
body_word_count,claude-sonnet-4-6,gpt-5.4-nano,-0.40916220253056507
body_word_count,claude-sonnet-4-6,gpt-5.4-mini,-0.11552682700689547
body_word_count,claude-sonnet-4-6,gpt-5.4,-0.3786615871336476
body_word_count,claude-opus-4-7,gpt-5.4-nano,-0.07802689865068739
body_word_count,claude-opus-4-7,gpt-5.4-mini,0.2321381667217026
body_word_count,claude-opus-4-7,gpt-5.4,-0.06023367027259219
body_word_count,gpt-5.4-nano,gpt-5.4-mini,0.3580130692562884
body_word_count,gpt-5.4-nano,gpt-5.4,0.01695623740943309
body_word_count,gpt-5.4-mini,gpt-5.4,-0.32323971057065587
body_line_count_nonempty,claude-haiku-4-5-20251001,claude-sonnet-4-6,0.15592350724041754
body_line_count_nonempty,claude-haiku-4-5-20251001,claude-opus-4-7,-0.23054221565782482
body_line_count_nonempty,claude-haiku-4-5-20251001,gpt-5.4-nano,-0.07356936837432228
body_line_count_nonempty,claude-haiku-4-5-20251001,gpt-5.4-mini,0.19639078251381845
body_line_count_nonempty,claude-haiku-4-5-20251001,gpt-5.4,-0.03723696041082356
body_line_count_nonempty,claude-sonnet-4-6,claude-opus-4-7,-0.3746556825626635
body_line_count_nonempty,claude-sonnet-4-6,gpt-5.4-nano,-0.2411771984519428
body_line_count_nonempty,claude-sonnet-4-6,gpt-5.4-mini,0.009505926512295917
body_line_count_nonempty,claude-sonnet-4-6,gpt-5.4,-0.2030446886614019
body_line_count_nonempty,claude-opus-4-7,gpt-5.4-nano,0.1760756699176688
body_line_count_nonempty,claude-opus-4-7,gpt-5.4-mini,0.4397023195798614
body_line_count_nonempty,claude-opus-4-7,gpt-5.4,0.2074409117568905
body_line_count_nonempty,gpt-5.4-nano,gpt-5.4-mini,0.3083950670162531
body_line_count_nonempty,gpt-5.4-nano,gpt-5.4,0.0383988549747105
body_line_count_nonempty,gpt-5.4-mini,gpt-5.4,-0.2604285413680712
body_stanza_count,claude-haiku-4-5-20251001,claude-sonnet-4-6,0.029798271416282697
body_stanza_count,claude-haiku-4-5-20251001,claude-opus-4-7,-0.24161850258247958
body_stanza_count,claude-haiku-4-5-20251001,gpt-5.4-nano,-0.02762112273986597
body_stanza_count,claude-haiku-4-5-20251001,gpt-5.4-mini,0.23644199888186423
body_stanza_count,claude-haiku-4-5-20251001,gpt-5.4,-0.0898534266537601
body_stanza_count,claude-sonnet-4-6,claude-opus-4-7,-0.2737593458050085
body_stanza_count,claude-sonnet-4-6,gpt-5.4-nano,-0.058873399485571166
body_stanza_count,claude-sonnet-4-6,gpt-5.4-mini,0.21333250336885864
body_stanza_count,claude-sonnet-4-6,gpt-5.4,-0.12327585944588502
body_stanza_count,claude-opus-4-7,gpt-5.4-nano,0.220023972334199
body_stanza_count,claude-opus-4-7,gpt-5.4-mini,0.4664105523010861
body_stanza_count,claude-opus-4-7,gpt-5.4,0.16534238283644756
body_stanza_count,gpt-5.4-nano,gpt-5.4-mini,0.27317162898174446
body_stanza_count,gpt-5.4-nano,gpt-5.4,-0.06316101178211721
body_stanza_count,gpt-5.4-mini,gpt-5.4,-0.3447083145615249
words_per_line_mean,claude-haiku-4-5-20251001,claude-sonnet-4-6,-0.08380067922286763
words_per_line_mean,claude-haiku-4-5-20251001,claude-opus-4-7,0.3610891609637486
words_per_line_mean,claude-haiku-4-5-20251001,gpt-5.4-nano,-0.6365692543536895
words_per_line_mean,claude-haiku-4-5-20251001,gpt-5.4-mini,-0.34747404734805193
words_per_line_mean,claude-haiku-4-5-20251001,gpt-5.4,-0.5988813303169939
words_per_line_mean,claude-sonnet-4-6,claude-opus-4-7,0.45391693601890576
words_per_line_mean,claude-sonnet-4-6,gpt-5.4-nano,-0.5517355601122043
words_per_line_mean,claude-sonnet-4-6,gpt-5.4-mini,-0.26154183705416695
words_per_line_mean,claude-sonnet-4-6,gpt-5.4,-0.5233029741099966
words_per_line_mean,claude-opus-4-7,gpt-5.4-nano,-1.0791885650851019
words_per_line_mean,claude-opus-4-7,gpt-5.4-mini,-0.7604366493622046
words_per_line_mean,claude-opus-4-7,gpt-5.4,-0.9741794252763173
words_per_line_mean,gpt-5.4-nano,gpt-5.4-mini,0.30231465785659384
words_per_line_mean,gpt-5.4-nano,gpt-5.4,-0.036510946507222565
words_per_line_mean,gpt-5.4-mini,gpt-5.4,-0.30111177531115374
words_per_line_sd,claude-haiku-4-5-20251001,claude-sonnet-4-6,-0.2286755680153123
words_per_line_sd,claude-haiku-4-5-20251001,claude-opus-4-7,-0.3376175607967765
words_per_line_sd,claude-haiku-4-5-20251001,gpt-5.4-nano,0.029465594162096476
words_per_line_sd,claude-haiku-4-5-20251001,gpt-5.4-mini,-0.2182221180544073
words_per_line_sd,claude-haiku-4-5-20251001,gpt-5.4,0.043600135791792796
words_per_line_sd,claude-sonnet-4-6,claude-opus-4-7,-0.09123017089339168
words_per_line_sd,claude-sonnet-4-6,gpt-5.4-nano,0.28629813727326486
words_per_line_sd,claude-sonnet-4-6,gpt-5.4-mini,0.038576501270151324
words_per_line_sd,claude-sonnet-4-6,gpt-5.4,0.2858858709072293
words_per_line_sd,claude-opus-4-7,gpt-5.4-nano,0.4196327598909184
words_per_line_sd,claude-opus-4-7,gpt-5.4-mini,0.1467756440184448
words_per_line_sd,claude-opus-4-7,gpt-5.4,0.40869620701150866
words_per_line_sd,gpt-5.4-nano,gpt-5.4-mini,-0.2884225877318347
words_per_line_sd,gpt-5.4-nano,gpt-5.4,0.018121431617033886
words_per_line_sd,gpt-5.4-mini,gpt-5.4,0.28495258666700435
mean_word_length,claude-haiku-4-5-20251001,claude-sonnet-4-6,1.0375198935504626
mean_word_length,claude-haiku-4-5-20251001,claude-opus-4-7,0.7093463768383501
mean_word_length,claude-haiku-4-5-20251001,gpt-5.4-nano,0.35988881579232423
mean_word_length,claude-haiku-4-5-20251001,gpt-5.4-mini,0.05396779331627933
mean_word_length,claude-haiku-4-5-20251001,gpt-5.4,0.45480520117329565
mean_word_length,claude-sonnet-4-6,claude-opus-4-7,-0.35209082795666186
mean_word_length,claude-sonnet-4-6,gpt-5.4-nano,-0.8093279235716428
mean_word_length,claude-sonnet-4-6,gpt-5.4-mini,-1.0940306823323225
mean_word_length,claude-sonnet-4-6,gpt-5.4,-0.6817268472336443
mean_word_length,claude-opus-4-7,gpt-5.4-nano,-0.42580292484870197
mean_word_length,claude-opus-4-7,gpt-5.4-mini,-0.7258496507558735
mean_word_length,claude-opus-4-7,gpt-5.4,-0.3079188940799679
mean_word_length,gpt-5.4-nano,gpt-5.4-mini,-0.3392297120422014
mean_word_length,gpt-5.4-nano,gpt-5.4,0.11746474753767315
mean_word_length,gpt-5.4-mini,gpt-5.4,0.4448323319465792
pos_noun_ratio,claude-haiku-4-5-20251001,claude-sonnet-4-6,0.4765551986290656
pos_noun_ratio,claude-haiku-4-5-20251001,claude-opus-4-7,0.24978748650013446
