feature,model,genre,mean
words_per_line_mean,claude-haiku-4-5-20251001,story,89.30595660058894
words_per_line_mean,claude-haiku-4-5-20251001,animal,75.86343989343989
words_per_line_mean,claude-haiku-4-5-20251001,poem,5.957063492063492
words_per_line_mean,claude-sonnet-4-6,story,71.24088217338218
words_per_line_mean,claude-sonnet-4-6,animal,73.54076301865776
words_per_line_mean,claude-sonnet-4-6,poem,5.753293103448276
words_per_line_mean,claude-opus-4-7,story,52.00833333333333
words_per_line_mean,claude-opus-4-7,animal,78.09632996632996
words_per_line_mean,claude-opus-4-7,poem,5.802777777777778
words_per_line_mean,gpt-5.4-nano,story,40.10557220557221
words_per_line_mean,gpt-5.4-nano,animal,55.313759018759015
words_per_line_mean,gpt-5.4-nano,poem,6.374305555555555
words_per_line_mean,gpt-5.4-mini,story,38.762573423308716
words_per_line_mean,gpt-5.4-mini,animal,42.1723088023088
words_per_line_mean,gpt-5.4-mini,poem,6.264453631504491
words_per_line_mean,gpt-5.4,story,36.299634597428714
words_per_line_mean,gpt-5.4,animal,33.659126984126985
words_per_line_mean,gpt-5.4,poem,6.745892857142858
mean_word_length,claude-haiku-4-5-20251001,story,4.6853753413524935
mean_word_length,claude-haiku-4-5-20251001,animal,5.207396934929329
mean_word_length,claude-haiku-4-5-20251001,poem,4.740698547119828
mean_word_length,claude-sonnet-4-6,story,4.480871013048297
mean_word_length,claude-sonnet-4-6,animal,4.88256034548617
mean_word_length,claude-sonnet-4-6,poem,4.140357553102595
mean_word_length,claude-opus-4-7,story,4.297039262856568
mean_word_length,claude-opus-4-7,animal,5.209011201838328
mean_word_length,claude-opus-4-7,poem,4.817082367318693
mean_word_length,gpt-5.4-nano,story,4.310339123683522
mean_word_length,gpt-5.4-nano,animal,4.864538286164279
mean_word_length,gpt-5.4-nano,poem,4.397416708158131
mean_word_length,gpt-5.4-mini,story,4.154136706425391
mean_word_length,gpt-5.4-mini,animal,4.650926531359343
mean_word_length,gpt-5.4-mini,poem,4.589481264910799
mean_word_length,gpt-5.4,story,4.304897355113629
mean_word_length,gpt-5.4,animal,4.679229176897433
mean_word_length,gpt-5.4,poem,4.508394451809148
em_dash_per_100_words,claude-haiku-4-5-20251001,story,0.7575856203560379
em_dash_per_100_words,claude-haiku-4-5-20251001,animal,0.21002290873847457
em_dash_per_100_words,claude-haiku-4-5-20251001,poem,0.5827321637470244
em_dash_per_100_words,claude-sonnet-4-6,story,0.5607840866127075
em_dash_per_100_words,claude-sonnet-4-6,animal,0.49112921269099113
em_dash_per_100_words,claude-sonnet-4-6,poem,0.7877058316012454
em_dash_per_100_words,claude-opus-4-7,story,0.3716325305419188
em_dash_per_100_words,claude-opus-4-7,animal,0.3803417599027618
em_dash_per_100_words,claude-opus-4-7,poem,1.3008833896124945
em_dash_per_100_words,gpt-5.4-nano,story,0.9904514695306569
em_dash_per_100_words,gpt-5.4-nano,animal,0.5731409316615468
em_dash_per_100_words,gpt-5.4-nano,poem,3.166882961859655
em_dash_per_100_words,gpt-5.4-mini,story,0.19657936526704667
em_dash_per_100_words,gpt-5.4-mini,animal,0.021367521367521368
em_dash_per_100_words,gpt-5.4-mini,poem,0.22426360178852806
em_dash_per_100_words,gpt-5.4,story,0.4228542711581524
em_dash_per_100_words,gpt-5.4,animal,0.0675162307086071
em_dash_per_100_words,gpt-5.4,poem,0.5054154735121705
semicolon_per_100_words,claude-haiku-4-5-20251001,story,0.0
semicolon_per_100_words,claude-haiku-4-5-20251001,animal,0.01763668430335097
semicolon_per_100_words,claude-haiku-4-5-20251001,poem,0.0
semicolon_per_100_words,claude-sonnet-4-6,story,0.0
semicolon_per_100_words,claude-sonnet-4-6,animal,0.0
semicolon_per_100_words,claude-sonnet-4-6,poem,0.0
semicolon_per_100_words,claude-opus-4-7,story,0.016666666666666666
semicolon_per_100_words,claude-opus-4-7,animal,0.0
semicolon_per_100_words,claude-opus-4-7,poem,0.16296296296296292
semicolon_per_100_words,gpt-5.4-nano,story,0.054146358483273906
semicolon_per_100_words,gpt-5.4-nano,animal,0.030674023062569604
semicolon_per_100_words,gpt-5.4-nano,poem,1.7619331204729727
semicolon_per_100_words,gpt-5.4-mini,story,0.0
semicolon_per_100_words,gpt-5.4-mini,animal,0.0
semicolon_per_100_words,gpt-5.4-mini,poem,0.7179416683916039
semicolon_per_100_words,gpt-5.4,story,0.0
semicolon_per_100_words,gpt-5.4,animal,0.0
semicolon_per_100_words,gpt-5.4,poem,0.42428165146611746
